observation_date,SOFR_data
1/3/22,0.05
1/4/22,0.05
1/5/22,0.05
1/6/22,0.05
1/7/22,0.05
1/10/22,0.05
1/11/22,0.05
1/12/22,0.05
1/13/22,0.05
1/14/22,0.05
1/17/22,
1/18/22,0.05
1/19/22,0.05
1/20/22,0.04
1/21/22,0.05
1/24/22,0.04
1/25/22,0.05
1/26/22,0.04
1/27/22,0.04
1/28/22,0.05
1/31/22,0.05
2/1/22,0.05
2/2/22,0.05
2/3/22,0.05
2/4/22,0.05
2/7/22,0.05
2/8/22,0.05
2/9/22,0.04
2/10/22,0.05
2/11/22,0.05
2/14/22,0.05
2/15/22,0.05
2/16/22,0.05
2/17/22,0.05
2/18/22,0.05
2/21/22,
2/22/22,0.05
2/23/22,0.05
2/24/22,0.05
2/25/22,0.05
2/28/22,0.05
3/1/22,0.05
3/2/22,0.05
3/3/22,0.05
3/4/22,0.05
3/7/22,0.05
3/8/22,0.05
3/9/22,0.05
3/10/22,0.05
3/11/22,0.05
3/14/22,0.05
3/15/22,0.05
3/16/22,0.05
3/17/22,0.3
3/18/22,0.3
3/21/22,0.29
3/22/22,0.28
3/23/22,0.27
3/24/22,0.27
3/25/22,0.28
3/28/22,0.28
3/29/22,0.28
3/30/22,0.27
3/31/22,0.29
4/1/22,0.3
4/4/22,0.3
4/5/22,0.3
4/6/22,0.3
4/7/22,0.3
4/8/22,0.3
4/11/22,0.3
4/12/22,0.29
4/13/22,0.29
4/14/22,0.29
4/15/22,
4/18/22,0.29
4/19/22,0.28
4/20/22,0.27
4/21/22,0.26
4/22/22,0.27
4/25/22,0.27
4/26/22,0.27
4/27/22,0.28
4/28/22,0.28
4/29/22,0.28
5/2/22,0.3
5/3/22,0.3
5/4/22,0.3
5/5/22,0.79
5/6/22,0.78
5/9/22,0.78
5/10/22,0.78
5/11/22,0.78
5/12/22,0.79
5/13/22,0.79
5/16/22,0.8
5/17/22,0.8
5/18/22,0.79
5/19/22,0.79
5/20/22,0.78
5/23/22,0.78
5/24/22,0.78
5/25/22,0.78
5/26/22,0.78
5/27/22,0.78
5/30/22,
5/31/22,0.79
6/1/22,0.8
6/2/22,0.79
6/3/22,0.78
6/6/22,0.78
6/7/22,0.77
6/8/22,0.76
6/9/22,0.75
6/10/22,0.75
6/13/22,0.73
6/14/22,0.69
6/15/22,0.7
6/16/22,1.45
6/17/22,1.45
6/20/22,
6/21/22,1.45
6/22/22,1.45
6/23/22,1.44
6/24/22,1.46
6/27/22,1.5
6/28/22,1.52
6/29/22,1.51
6/30/22,1.5
7/1/22,1.52
7/4/22,
7/5/22,1.54
7/6/22,1.54
7/7/22,1.54
7/8/22,1.53
7/11/22,1.53
7/12/22,1.54
7/13/22,1.53
7/14/22,1.53
7/15/22,1.54
7/18/22,1.54
7/19/22,1.54
7/20/22,1.53
7/21/22,1.53
7/22/22,1.52
7/25/22,1.53
7/26/22,1.53
7/27/22,1.53
7/28/22,2.28
7/29/22,2.27
8/1/22,2.28
8/2/22,2.3
8/3/22,2.29
8/4/22,2.29
8/5/22,2.28
8/8/22,2.28
8/9/22,2.29
8/10/22,2.28
8/11/22,2.28
8/12/22,2.28
8/15/22,2.29
8/16/22,2.29
8/17/22,2.29
8/18/22,2.28
8/19/22,2.28
8/22/22,2.28
8/23/22,2.27
8/24/22,2.27
8/25/22,2.28
8/26/22,2.28
8/29/22,2.28
8/30/22,2.29
8/31/22,2.29
9/1/22,2.29
9/2/22,2.29
9/5/22,
9/6/22,2.29
9/7/22,2.28
9/8/22,2.28
9/9/22,2.28
9/12/22,2.28
9/13/22,2.28
9/14/22,2.27
9/15/22,2.28
9/16/22,2.27
9/19/22,2.27
9/20/22,2.26
9/21/22,2.25
9/22/22,2.99
9/23/22,2.99
9/26/22,2.99
9/27/22,2.98
9/28/22,2.98
9/29/22,2.96
9/30/22,2.98
10/3/22,3
10/4/22,3.04
10/5/22,3.04
10/6/22,3.05
10/7/22,3.05
10/10/22,
10/11/22,3.05
10/12/22,3.04
10/13/22,3.04
10/14/22,3.04
10/17/22,3.05
10/18/22,3.04
10/19/22,3.04
10/20/22,3.03
10/21/22,3.02
10/24/22,3.01
10/25/22,3.02
10/26/22,3.03
10/27/22,3.04
10/28/22,3.05
10/31/22,3.05
11/1/22,3.05
11/2/22,3.05
11/3/22,3.8
11/4/22,3.8
11/7/22,3.78
11/8/22,3.78
11/9/22,3.78
11/10/22,3.78
11/11/22,
11/14/22,3.79
11/15/22,3.8
11/16/22,3.81
11/17/22,3.8
11/18/22,3.8
11/21/22,3.8
11/22/22,3.8
11/23/22,3.79
11/24/22,
11/25/22,3.8
11/28/22,3.8
11/29/22,3.81
11/30/22,3.82
12/1/22,3.82
12/2/22,3.81
12/5/22,3.81
12/6/22,3.8
12/7/22,3.8
12/8/22,3.8
12/9/22,3.8
12/12/22,3.8
12/13/22,3.8
12/14/22,3.8
12/15/22,4.32
12/16/22,4.32
12/19/22,4.3
12/20/22,4.3
12/21/22,4.3
12/22/22,4.3
12/23/22,4.3
12/26/22,
12/27/22,4.3
12/28/22,4.3
12/29/22,4.3
12/30/22,4.3
1/2/23,
1/3/23,4.31
1/4/23,4.3
1/5/23,4.31
1/6/23,4.31
1/9/23,4.31
1/10/23,4.31
1/11/23,4.3
1/12/23,4.3
1/13/23,4.3
1/16/23,
1/17/23,4.31
1/18/23,4.3
1/19/23,4.31
1/20/23,4.3
1/23/23,4.3
1/24/23,4.3
1/25/23,4.31
1/26/23,4.3
1/27/23,4.3
1/30/23,4.3
1/31/23,4.31
2/1/23,4.31
2/2/23,4.56
2/3/23,4.55
2/6/23,4.55
2/7/23,4.55
2/8/23,4.55
2/9/23,4.55
2/10/23,4.55
2/13/23,4.55
2/14/23,4.55
2/15/23,4.55
2/16/23,4.55
2/17/23,4.55
2/20/23,
2/21/23,4.55
2/22/23,4.55
2/23/23,4.55
2/24/23,4.55
2/27/23,4.55
2/28/23,4.55
3/1/23,4.55
3/2/23,4.55
3/3/23,4.55
3/6/23,4.55
3/7/23,4.55
3/8/23,4.55
3/9/23,4.55
3/10/23,4.55
3/13/23,4.55
3/14/23,4.55
3/15/23,4.58
3/16/23,4.57
3/17/23,4.55
3/20/23,4.55
3/21/23,4.55
3/22/23,4.55
3/23/23,4.8
3/24/23,4.8
3/27/23,4.81
3/28/23,4.84
3/29/23,4.83
3/30/23,4.82
3/31/23,4.87